Iteration, CellID, InitialMol, FinalMol, InitialTemperature, FinalTemperature
71, 2, 499.9162, 503.881, 521.1651, 510.7418
71, 3, 499.9162, 503.881, 507.0536, 496.9125
71, 4, 499.9162, 503.881, 493.3272, 483.4607
72, 1, 488.3562, 541.2362, 508.8851, 561.6509
72, 2, 503.881, 486.2543, 520.9195, 492.5994
72, 3, 503.881, 486.2543, 506.8867, 479.3295
72, 4, 503.881, 486.2543, 493.2353, 466.4203
73, 1, 541.2362, 525.0901, 561.6509, 545.6022
73, 2, 486.2543, 491.6364, 508.2763, 498.1108
73, 3, 486.2543, 491.6364, 494.5688, 484.6774
73, 4, 486.2543, 491.6364, 481.2343, 471.6096
74, 1, 525.0901, 510.619, 545.6022, 531.155
74, 2, 491.6364, 496.4601, 513.3398, 503.073
74, 3, 491.6364, 496.4601, 499.4813, 489.4917
74, 4, 491.6364, 496.4601, 486.0002, 476.2802
75, 1, 510.619, 497.649, 531.155, 518.1495
75, 2, 496.4601, 500.7834, 517.8987, 507.5408
75, 3, 496.4601, 500.7834, 503.9036, 493.8256
75, 4, 496.4601, 500.7834, 490.2899, 480.4841
76, 1, 497.649, 549.4664, 518.1495, 569.8966
76, 2, 500.7834, 483.511, 517.9037, 489.7476
76, 3, 500.7834, 483.511, 503.9813, 476.582
76, 4, 500.7834, 483.511, 490.4367, 463.7738
77, 1, 549.4664, 532.4665, 569.8966, 553.025
77, 2, 483.511, 489.1776, 505.6547, 495.5416
77, 3, 483.511, 489.1776, 492.0451, 482.2042
77, 4, 483.511, 489.1776, 478.8053, 469.2292
78, 1, 532.4665, 517.2301, 553.025, 537.8372
78, 2, 489.1776, 494.2564, 510.9778, 500.7582
78, 3, 489.1776, 494.2564, 497.2095, 487.2654
78, 4, 489.1776, 494.2564, 483.8157, 474.1394
79, 1, 517.2301, 503.5744, 537.8372, 524.1649
79, 2, 494.2564, 498.8083, 515.7704, 505.455
79, 3, 494.2564, 498.8083, 501.8586, 491.8214
79, 4, 494.2564, 498.8083, 488.3253, 478.5587
80, 1, 503.5744, 491.3352, 524.1649, 511.857
80, 2, 498.8083, 502.888, 520.0857, 509.684
80, 3, 498.8083, 502.888, 506.0437, 495.9228
80, 4, 498.8083, 502.888, 492.384, 482.5363
81, 1, 491.3352, 543.8746, 511.857, 564.296
81, 2, 502.888, 485.3749, 519.9211, 491.6553
81, 3, 502.888, 485.3749, 505.9552, 478.4486
81, 4, 502.888, 485.3749, 492.3681, 465.6002
82, 1, 543.8746, 527.4548, 564.296, 547.9832
82, 2, 485.3749, 490.8482, 507.4061, 497.2579
82, 3, 485.3749, 490.8482, 493.7598, 483.8846
82, 4, 485.3749, 490.8482, 480.4839, 470.8742
83, 1, 527.4548, 512.7383, 547.9832, 533.2984
83, 2, 490.8482, 495.7537, 512.5534, 502.3023
83, 3, 490.8482, 495.7537, 498.7531, 488.778
83, 4, 490.8482, 495.7537, 485.3277, 475.6212
84, 1, 512.7383, 499.5485, 533.2984, 520.0791
84, 2, 495.7537, 500.1503, 517.1879, 506.8441
84, 3, 495.7537, 500.1503, 503.2481, 493.1831
84, 4, 495.7537, 500.1503, 489.6873, 479.8936
85, 1, 499.5485, 551.1485, 520.0791, 571.6139
85, 2, 500.1503, 482.9503, 517.2457, 489.1253
85, 3, 500.1503, 482.9503, 503.3766, 476.0103
85, 4, 500.1503, 482.9503, 489.8833, 463.2505
86, 1, 551.1485, 533.9741, 571.6139, 554.5709
86, 2, 482.9503, 488.675, 505.0804, 494.9788
86, 3, 482.9503, 488.675, 491.5199, 481.6895
86, 4, 482.9503, 488.675, 478.3273, 468.7607
87, 1, 533.9741, 518.5814, 554.5709, 539.2288
87, 2, 488.675, 493.806, 510.4581, 500.2489
87, 3, 488.675, 493.806, 496.7368, 486.8021
87, 4, 488.675, 493.806, 483.388, 473.7202
88, 1, 518.5814, 504.7855, 539.2288, 525.4177
88, 2, 493.806, 498.4046, 515.3, 504.994
88, 3, 493.806, 498.4046, 501.433, 491.4044
88, 4, 493.806, 498.4046, 487.9428, 478.184
89, 1, 504.7855, 492.4206, 525.4177, 512.9848
89, 2, 498.4046, 502.5262, 519.6596, 509.2664
89, 3, 498.4046, 502.5262, 505.6606, 495.5474
89, 4, 498.4046, 502.5262, 492.0423, 482.2014
90, 1, 492.4206, 544.8358, 512.9848, 565.2997
90, 2, 502.5262, 485.0545, 519.5261, 491.2818
90, 3, 502.5262, 485.0545, 505.6019, 478.1145
90, 4, 502.5262, 485.0545, 492.0548, 465.304
91, 1, 544.8358, 528.3163, 565.2997, 548.887
91, 2, 485.0545, 490.561, 507.0605, 496.9193
91, 3, 485.0545, 490.561, 493.4529, 483.5839
91, 4, 485.0545, 490.561, 480.2142, 470.6099
92, 1, 528.3163, 513.5105, 548.887, 534.112
92, 2, 490.561, 495.4962, 512.24, 501.9952
