Action, Iteration, CellID, NeighbourID, TransferAmount, HeatTransfered
Transfer, 1, 3, 1, 13.61272, 13.69965
Transfer, 1, 4, 1, 13.61272, 13.33148
Transfer, 1, 1, 2, 7.668412, 7.953516
Transfer, 1, 1, 3, 7.668412, 7.731515
Transfer, 1, 1, 4, 7.668412, 7.515711
Transfer, 1, 2, 1, 4.835114, 5.056552
Transfer, 1, 3, 1, 4.835114, 4.920458
Transfer, 1, 4, 1, 4.835114, 4.78806
Transfer, 1, 1, 2, 7.43116, 7.718057
Transfer, 1, 1, 3, 7.43116, 7.502629
Transfer, 1, 1, 4, 7.43116, 7.293214
Transfer, 1, 2, 1, 4.89178, 5.109783
Transfer, 1, 3, 1, 4.89178, 4.972101
Transfer, 1, 4, 1, 4.89178, 4.838163
Transfer, 1, 1, 2, 7.218522, 7.506096
Transfer, 1, 1, 3, 7.218522, 7.296584
Transfer, 1, 1, 4, 7.218522, 7.092919
Transfer, 1, 2, 1, 4.942568, 5.157709
Transfer, 1, 3, 1, 4.942568, 5.018591
Transfer, 1, 4, 1, 4.942568, 4.883259
Transfer, 1, 1, 2, 7.027941, 7.315287
Transfer, 1, 1, 3, 7.027941, 7.111101
Transfer, 1, 1, 4, 7.027941, 6.912614
Transfer, 1, 2, 1, 4.988087, 5.200861
Transfer, 1, 3, 1, 4.988087, 5.060441
Transfer, 1, 4, 1, 4.988087, 4.923846
Transfer, 1, 1, 2, 4.913348, 5.118555
Transfer, 1, 1, 3, 4.913348, 5.016184
Transfer, 1, 1, 4, 4.913348, 4.91586
Transfer, 1, 2, 1, 13.66992, 14.13293
Transfer, 1, 3, 1, 13.66992, 13.7533
Transfer, 1, 4, 1, 13.66992, 13.38397
Transfer, 1, 1, 2, 7.590377, 7.875367
Transfer, 1, 1, 3, 7.590377, 7.655548
Transfer, 1, 1, 4, 7.590377, 7.441864
Transfer, 1, 2, 1, 4.853753, 5.074063
Transfer, 1, 3, 1, 4.853753, 4.937602
Transfer, 1, 4, 1, 4.853753, 4.804844
Transfer, 1, 1, 2, 7.361222, 7.647707
Transfer, 1, 1, 3, 7.361222, 7.434242
Transfer, 1, 1, 4, 7.361222, 7.226736
Transfer, 1, 2, 1, 4.908485, 5.125536
Transfer, 1, 3, 1, 4.908485, 4.987534
Transfer, 1, 4, 1, 4.908485, 4.853282
Transfer, 1, 1, 2, 7.155837, 7.442766
Transfer, 1, 1, 3, 7.155837, 7.235021
Transfer, 1, 1, 4, 7.155837, 7.033076
Transfer, 1, 2, 1, 4.95754, 5.17188
Transfer, 1, 3, 1, 4.95754, 5.032484
Transfer, 1, 4, 1, 4.95754, 4.896878
Transfer, 1, 1, 2, 4.995482, 5.200781
Transfer, 1, 1, 3, 4.995482, 5.096766
Transfer, 1, 1, 4, 4.995482, 4.994831
Transfer, 1, 2, 1, 13.5955, 14.0602
Transfer, 1, 3, 1, 13.5955, 13.6832
Transfer, 1, 4, 1, 13.5955, 13.31642
Transfer, 1, 1, 2, 7.691895, 7.977503
Transfer, 1, 1, 3, 7.691895, 7.754833
Transfer, 1, 1, 4, 7.691895, 7.538378
Transfer, 1, 2, 1, 4.829506, 5.050805
Transfer, 1, 3, 1, 4.829506, 4.915202
Transfer, 1, 4, 1, 4.829506, 4.783276
Transfer, 1, 1, 2, 7.452208, 7.73965
Transfer, 1, 1, 3, 7.452208, 7.523619
Transfer, 1, 1, 4, 7.452208, 7.313617
Transfer, 1, 2, 1, 4.886754, 5.104582
Transfer, 1, 3, 1, 4.886754, 4.967371
Transfer, 1, 4, 1, 4.886754, 4.833883
Transfer, 1, 1, 2, 7.237384, 7.525534
Transfer, 1, 1, 3, 7.237384, 7.315479
Transfer, 1, 1, 4, 7.237384, 7.111287
Transfer, 1, 2, 1, 4.938063, 5.153
Transfer, 1, 3, 1, 4.938063, 5.014332
Transfer, 1, 4, 1, 4.938063, 4.879431
Transfer, 1, 1, 2, 7.044847, 7.332784
Transfer, 1, 1, 3, 7.044847, 7.12811
Transfer, 1, 1, 4, 7.044847, 6.929148
Transfer, 1, 2, 1, 4.984049, 5.196596
Transfer, 1, 3, 1, 4.984049, 5.056608
Transfer, 1, 4, 1, 4.984049, 4.920425
Transfer, 1, 1, 2, 4.924206, 5.129841
Transfer, 1, 1, 3, 4.924206, 5.027245
